sentences,labels,vader_scores,mod_vader_scores
<s> good severe marleematlin kreesha mind night nj deeper toast list geog yasmimmm cameronreilly excitement backlog lord 3rd 1week suck harper </s>,1,0.1531,0.1531
<s> chopsuey2e zhang political fabuleuxdestin afterwards bad jeremy poke sowwiiiee tilde chick r2e2 yan dif super nareejo semuuaa afternoon pc uugggh </s>,1,0.1027,0.1027
<s> mosquito 4am lobster top vernongarrett calgary greatfitness knowwwwww mc insure shogi 5th benny doingwork l8ly popularity normally ncaa tweak costa </s>,1,0.5994,0.5994
<s> okay dunkndisorderly tutor mommapuff souvenir sketchbook mwahahaha financial goodnight jenny hoopinispassion howliet sudden kea34 sri join60seconds offline shaft secular matthewsheppard </s>,1,0.1027,0.1027
<s> lucypope hoaaaaaaaaaaaaa caffeine mark liturgy wheel ceiling toronto dow werewolfseth m0t0breath h0area getknifed yourproxycomm product 45 affairs solar funky tent </s>,0,-0.1027,0.1027
<s> shorten vengeance anno84 terrify kaaatieexlee stroll catenalady brooklyn single cindaily besiege report sugar sweetdanigirl principally fundraiser fff havent aab thread </s>,0,-0.5106,0.5106
<s> suzemuse rotate tweeterwall alexis matt blizzard studios personally template near irish therounddiet utrecht wel overheat bobbythomas1 rewrite wec fortunate suddenly </s>,1,0.4404,0.4404
<s> get rockers border daysdifference irritate ga memories nike candyfloss levnumesmerized squarespace available greg kazzba isp cofffeeeeeee stephenfry absolutely ich os </s>,0,-0.4215,0.4215
<s> blow between f fff rehab darkhunter proxy childish incest freak newt0 judo golf if teemwilliams please boogaloo1 nature allergic opinion </s>,0,-0.6124,0.6124
<s> ng shaft rakeshagrawal watching05 sue lego girls until mawbooks end sylviegreen69 switch aku sxsw infuriate twilightfan023 marktheescape analogs littlelumen encourage </s>,1,0.0258,0.0258
<s> deletion fb maiden ahhhaaaa ashdonaldson pirrofina bidders uu row ja vicbeezy dan poetrysue out robertmuchamore membership srv iilovejbxox depression rachel </s>,0,-0.5719,0.5719
<s> n97 moms dash playoffbeard youtube linux advance orientation switch2008 ubuntu julian79 showdown transfer non goooodnight juiceeeee german gif hawaii roxannegregorio </s>,0,0.0,0.0
<s> yay marjamma ð¾ð²ñ champorado however tunisia suspect 15 hombre tequilanef mandolin2 savagestar cousins jeddimkins robinson barrier treypeezy elainerogers aug justinofg4p </s>,1,0.1779,0.1779
<s> contrato uuuggghhh equip marykunzgoldman piss also step bmaynorx3 security itinerary atm arm eh dn empathy people 3rd ecstatic fort beach </s>,1,0.4588,0.4588
<s> barley databases suppose out navarro mass birth ithellam th window sandysaikman mondayyyyyyy goose record msmandz dash poop pass jerk onefullyear </s>,0,-0.34,0.34
<s> awesome player melamachinko downfall aoc idols hannahfaulkes impossible remember prince hangover issn premiere bedroom ted convention fashionchalet accommodation breeze usual </s>,1,0.6249,0.6249
<s> snowshoemtn nm wonder hometown june dyn flurry studio ed spec fabuleuxdestin demivenom prinzita tons iceprincess12 bah annelizabeth84 nelldamylf rubbish bikini </s>,0,0.0,0.0
<s> pitch soulsupreme commute complaints davidoreilly catfuel 854 concerts09 kit zhang despite briaaaa shave aaahhhh heavily julibarcelona gabysslave bacieabbracci ihsanamin ze </s>,0,-0.4019,0.4019
<s> quot where wellllll treat syllable expensive monsoonsmangoes dentist kel7alpha kick24 pinkkpaiige12 daisymoonstars bandmate burgundy sir barber00 und chloe intense stiiilllll </s>,1,0.4588,0.4588
<s> phoenixpwns mmmm doubt yakisoba 19th sox costume sidekick canvas banner pinchmysalt tolerance library zone talk mel0d mg double magnet shia </s>,0,-0.0772,0.0772
<s> ick aristeia daddy category bella4510 greedy here contest croissant gregjames rollerblade bleed such itinerary whiterabbit00 miserable itsneet dddddd rucksack hehehehe </s>,0,-0.6705,0.6705
<s> iphone ashley partially tear friday nico station shaft cox greeneyedjessie supuesto july themacgirl rollerblade lisamurray bailey plump slowinagoodway piss better </s>,1,0.0516,0.0516
<s> foot echo guitardragon emily moooorning itsmyeyes pitch return instant vanc besiege comic 17 jason motto wonder outlook crs hobby important </s>,1,0.2023,0.2023
<s> trip reminders circle goo expect spalongal ronsalcedo video chico 2g blame sam turkish pitch founder babygirlparis midwife guitardragon barn clue </s>,0,-0.34,0.34
<s> patrickaxe configure procrastinate sedonadreammakr 3 size no1 okinawan together definite espana colorado kinderlola rels package shit dayyyyy splendid dadonwoogz brightgirl </s>,1,0.3182,0.3182
<s> mcflyharry accident briaaaa little mizzvegas missannelie sample via european mmitchelldaviss verseghy bubblegate material 14 delle exceed hook announcement k teammate </s>,0,-0.4767,0.4767
<s> thumb hollywood dummy chantalalalaxo ck foreign rampage youuuuuu primary brazil wall wing ting neighbor gt demo pelo counter without danny </s>,1,0.2732,0.2732
<s> http slowinagoodway comfortable ram8727 thunder destinyhope92 grumpy nancetron check congo todays twilightchill bruno108 bun creamcheese god4movers greatly very blast vomit </s>,1,0.5106,0.5106
<s> vanc for kiddlive christine calibre friday junk common9000 matter hero precede amateur clockwork base gorgeoussssss att his style goat blip </s>,1,0.5719,0.5719
<s> 97 pretty disappointment pass ky lizamtl counterpart julian cooler 2uk farm well chemistry rattielovers map pres af447 torehtard momentarily hilarious </s>,1,0.5719,0.5719
<s> get different stalk assets peace dallas honorary brooklynblack nhltweetup traditional close legal sasha bbs mmitchelldaviss rainbow library shame obvious aspaphoto </s>,1,0.6124,0.6124
<s> want vacation armour surf ðµð¼ members po religious idols dat housewives stuartwhitman typo noblesville michellelynn69 gf svn muse tweetschoolonline honor </s>,0,-0.0258,0.0258
<s> sweetmexicangal sickness stray rapper animorphs joshgroban ceiling kent type registry bff journ phenol monitor retrieve emily noblesville dish intense knowwwwww </s>,1,0.6369,0.6369
<s> tuesday emmys20 chem differently tifftiff621 summary juicy sugar mogwai brightgirl suggest bittenbybooks year auction lobster mallee tutorials nevermind existence naval </s>,0,0.0,0.0
<s> africa catfuel campaign ze announcement nervous shift cricket goodtimesaregon tomorrow reggae thebestofhands sissyto4 seemouserun edc either headline skinny turn dose </s>,0,-0.2732,0.2732
<s> grad automatically allenbenjamin gregjames translate ugg cab complainnnnn lcs calm music4ever323 3turnoffwords jet wichita world09 speakers jesse german crave ubershmoo </s>,1,0.3182,0.3182
<s> need candyfloss arabidopsis richie bang bro hardheaded buckle wander winter rumor michael mtvwebmaster freelance ats untitled even 29 paddy presentations </s>,1,0.296,0.296
<s> slave anna rafatux wind ladies david mass soccer addiction ride matchesmalone foot hel irritate flood chillout reject ailujulia databases safe </s>,0,-0.3818,0.3818
<s> musewire jeffmello yourmommasboy harmonisation 38 itsconsiderate trvsdjam weekend wise lisabeth larson smart shock shallow improve simon rhetthislop neither gofoborsvpcodes yeh </s>,1,0.7269,0.7269
<s> bbc surf lilyjang mosquito usual condition brian 6a goddess bring bait philippines sooooooooo shoot mostly ingredients pet katie everything socialist </s>,0,-0.34,0.34
<s> so0 ahead ashbashoneonly treadonmydreams math1213 2g parliament terrain rotors since airlines stickers sunshineliron 2mozxxmuch tweetpeete demand song greenish comma63 tfl </s>,0,-0.128,0.128
<s> volunteer shear effort padacklesjjam peace london88 allies0r rice cookies depot abi owner êµ grahamwgreen 6 crawl sexy doc deadpool twinkle </s>,1,0.7845,0.7845
<s> mikecane ljubljana stonewallers lip02x bust mizrik bee content hard mikebutcher uu they cash hampton levy ticket yh lauren rachel unnamed </s>,0,-0.1027,0.1027
<s> simone itsmyeyes jackie felt people patients e3 theã½ apparent music above12 pause overrun barrett sandysaikman 360 jolicloud destinyhope92 novel jodymal </s>,1,0.3182,0.3182
<s> everyone inside markvanbaale knock much therealceaza7 heart signingmom impose gavin8 twishmay sofia bean ohsuperheroine grief screenwipe bs cooooossstttaaa noahbond maddieque </s>,0,-0.0516,0.0516
<s> b4 prairie sphere squarespace vt chiefs andrea englisch eat dew marinadepp chriscornell loud emotional hardbean no waist slower rest magnetic </s>,0,-0.1531,0.1531
<s> besiege ppc virtue lancesmithshow courthouse sweetdanigirl cbf educational clip godlessgirl akatoure m42 rehab mm fighters bf punch pune timo beautiful909 </s>,1,0.3818,0.3818
<s> look series decide xdahlia younger della cultureshockmag phoenix indies noisettes sweatshirt crust fan 5am num chiodos twilightfan023 rhetthislop katecollinsnyc wit </s>,1,0.3182,0.3182
<s> brettkloesel strategically pad warehouse columbus citygirl912 sail twishmay languages bruno108 blevisthename stack octostone julia062 draganababy strike splendid technicalfault pirate pres </s>,1,0.5106,0.5106
<s> anyone rhetthislop deposit simply min100 joe4pixelworks ment browne toy garbage butter volunteer naked francheska28 adam denisehammock ashleymarieduh mawbooks rachel2206 artunexpected </s>,0,0.0,0.0
<s> little rediscover car it ppc by jackawful eminem definitely utrecht wretched occur thru scan webcomic rod76 orange youth dublin hate </s>,0,-0.25,0.25
<s> ugg pitch current bruxedo momentarily everything picadilly stewart horse daycare apparently gerdiend alive north wendy00n pro cameronreilly md christmas josheddy </s>,1,0.3818,0.3818
<s> snap tellllll lego crow rocker hurry turkey chrisvanpatten dare pleasure jazzyyyyyy 1cablegate commit tony struggle kelownagurl hilarious however scream louis </s>,1,0.5574,0.5574
<s> kiln cup overwhelm size gil army epilogue select sound markhoppus barley rcn michael domination happyyyyyyyyyyyyyy different expert array officially natural </s>,1,0.1531,0.1531
<s> microsoft joey paint realize fb rollerblade matthew same xo texts salty hurdle blame cook donald maths zealand roast beside basketball </s>,0,-0.34,0.34
<s> worth sideways oneseasonmlb ft cellular definately makikigirl remember cartoon snl fish donald crack girl kayak metallica odarygh break brother missannelie </s>,1,0.2263,0.2263
<s> weekly m42 page luton archuleta epiphanygirl brotherhood valley wk anniversary fire mrsrrc onefullyear mrsrrc 10pm reception best chapman85 gt care </s>,1,0.7964,0.7964
<s> list his townhouse mun forward fixreplies threats richards forte 270 grad autograph dj hardest finals goodtimesaregon ahhhhhh contest uptake espana </s>,0,-0.4215,0.4215
<s> marginatasnaily exams travelpilot question insurance shall wee yea wonderland mile maddlepaddle signal excuse lonely sunglasses multiple oops thelarssan barrier thus </s>,0,-0.4019,0.4019
<s> pick reprint lok markvanbaale anyway 24oz shansgrl picnic montana animorphs ahmed outfit en coma buck person kris untitled boyle manchester </s>,0,0.0,0.0
<s> go number milton iguana bloody har adamsinger alma peter11 window brussels lookout dire medications brow magicians kong az davis davis </s>,0,-0.6808,0.6808
<s> intel message clinical dn scramble suckahpunch degree268 hahahaa treysongz cast croissant aunt coach manila foxybimbo xxx cnn past sweater ca </s>,0,0.0,0.0
<s> extra alive multiply obsessive hunt rikkilazao activate detention supasash11 breath milton travis karen col mad costume hanshillen mickcornett clever memoriesbymicha </s>,0,-0.25,0.25
<s> mustard suggest group deadlines plus quot dec23 completely egyptian incentive activate whilst noisettes pennyash edmonton 31 supportive dylancoyle pres ml </s>,1,0.6096,0.6096
<s> slowly toothsoup djtracyyoung jessiwithoutyou skirt tofu redneck deposit chicken gutter laboratory mat base provokecreative themacgirl chopsuey2e sissyto4 newt0 wasps jewel </s>,1,0.3612,0.3612
<s> joseph0604 epic suddenly share mallorypike 13 clapham rip goo que scam fishfinger masterchef facebook contest prestonlowe plutonium smell bone testes </s>,0,-0.3612,0.3612
<s> slap jan mikecarden fuck rapper noise md roof combination hardwicke alltime client 2000 graduate neelyyyy deadlines twig rubin gray genteeeeeeeeeeeeeeeeeeeeeeeeeeeee </s>,0,-0.4404,0.4404
<s> replace 9am oldies delightful this bailey password calistafoxbooks functionality toni nokia agent babe timaldiss didnt sakura socialist murphy checkertail productive </s>,1,0.5859,0.5859
<s> hansonmusic punch nobody bloat option levnumesmerized adelaide katy scotland comma confessing7girl lore duchies hotel loan solorunner without soooooooo songs blamedrewscancer </s>,0,0.0,0.0
<s> kermitbox ike bros ram8727 storyline02 redo affairs reg trend alexmetric sacrifice trust jazz bad dang knitpicks ibuprofen neighbour friends fashionchalet </s>,1,0.4404,0.4404
<s> die wretched theothermousie must st friday aahahahah ny treysongz simplyshannon tennisetviola mobile ones thrill mine katherinemorris jose patty stevebrunton foods </s>,0,-0.34,0.34
<s> champorado davidarchie hopefully cricket bang grizzly yr snail useless zarkinfrood lookout warm development brave scramble soup pennyash affiliate thelindalam misssimone32 </s>,1,0.6369,0.6369
<s> barney apprentice dc cs lilyjang cocoa support entries emjaystar commute skate abbr whereas woodland judith eee jama chesterfield group brown </s>,1,0.4019,0.4019
<s> hull tweeterwall kaaatieexlee sincere jodieharsh vienna content guitars xoxoniteee phil bachelor sha pandora redneck hotel days lesleychang dental col increase </s>,1,0.6124,0.6124
<s> werewolfleah mt indeed bank recurrence eight write cruz happyyyyyyyyyyyyyy discussion fireworks justashley lucypope cilia winners process cg ham poland relate </s>,1,0.4767,0.4767
<s> fame adamsinger silent gr hugh recycle petrol sui convoy push trampoline 3g wavy relieve halfway situation nelawish honestly nin fairly </s>,1,0.8126,0.8126
<s> stuartwhitman total disney paddypower deny specialist ballads service street shelve mallorypike please kara roster wt hccmorrisville greatfitness hole1337 design bananabby </s>,0,-0.0935,0.0935
<s> crash theatre atleast cirrusly fm databases irc tgifridays website enjoy csc stomach ripple befriend imo curtcosmic wallet origin channel doubleickey </s>,1,0.128,0.128
<s> pascal jonathanrknight benson troystith shout obsessive zarrabis much boyle ms chuckiem folks journ smithycurt configurable êµ sweetdreams gibbs 18 flint </s>,0,-0.2263,0.2263
<s> 2was march wonderful dawnrigby doug within adam12 mayor pearson1990 hurrrrry sometime flute casserole jealous mallorypike tactics drug lorrainapaz poor lauren </s>,0,-0.34,0.34
<s> 2am parent bake welcome warp themacgirl mondgutierrez hilprado maths monikinhams anybody artist mizrik worse tease baseball mechanics nozuka tarswebb gay </s>,0,-0.34,0.34
<s> pretend kane deck nachojohnny anne update marathon size tune pose marylandrum where access traitor mustang adventure cell london88 punks bill </s>,1,0.2263,0.2263
<s> bore thousands smartphone salad neither twiril iamsneezy cyclists awwwwwwwwwwwwwwwwhhhhhhhhh markhundley realdeal32 wtf hose joey wouldnt barra canal aunts foods clublink </s>,0,-0.7003,0.7003
<s> well samurai lai upside rcn byron ppell golf except bumblebeebree miami punk tonight male include gun nature jay musclenerd items </s>,0,-0.0772,0.0772
<s> mondgutierrez lai followers accommodation mobile alexmetric rafaqat longstory spotlight lilcdawg address will theothermousie unpleasant martybuckley hampton janeeeyy diamondblvd littlehallie heheheh </s>,0,-0.4767,0.4767
<s> hhh tear degree burn ist txt mygameloft pusher semuuaa behemothjc comma humor pirrofina espana uncover questlove angry moisture pete clock </s>,0,-0.296,0.296
<s> frame stuff agent stick miya dai 2was dummy scotland ladyshamble 3gs rotate italia ooh say 1week stalinism solo truth gg </s>,1,0.5423,0.5423
<s> seventeen travelpilot avatar xxx kaaatieexlee probably nothing gordon kathbambo blast helluva remembermeninab statement upp swear bigbearrg nb109 brand britain egg </s>,0,-0.0516,0.0516
<s> swim 1989 well jade neither uhhhhh fc hm flank soldier flyingbolt maturity ugottaloveindi jenny barracuda808 developer babe church complain duck </s>,0,-0.1027,0.1027
<s> casa units jessebarrera vh1hoops exceptionally toast months learn monday uuuhhhgg chelsea unpleasant censor nevermind pink dance2jeffrey swim lobster ewwwwy function </s>,0,-0.7269,0.7269
<s> what saschaillyvich highly component tomsmithmcse 2007 alice anna celebrate dude catrocketship p90x foxybimbo mmff watkins angelaisawesome phil 11 bruno 3drink </s>,1,0.5719,0.5719
<s> eqfacebookgrp sofia longtime slave honey101 view speeches laundry situation math1213 poorly potency glitter tiiiink ram thehollyjohnson please doesnt alchemist little </s>,1,0.3182,0.3182
<s> carmaki awhile nervous lena sense testimonials applebee roommate nycitymama stickers aint kid sherrilynne procrastinate browse rerkaizen great djdeks foam association </s>,1,0.4588,0.4588
<s> thank professional jasoncecrle intro atlantic domestic 1vs100 fellow park bullshitters avalon jazz27 tofu mileycyrus wah ticklemejoey marco land stress contact </s>,0,-0.0772,0.0772
<s> markhoppus raaaaaaek monsoon ellen starve divine kirankhanzada fight elon puppies pancake goggle iv broadband twitprentice keychain bobgrrl commute nathalichristy bloody </s>,0,-0.5859,0.5859
<s> champorado andrea uk usa civilization lilyjang anymore hd tweeperzz miya hamburg rotors crap notebook conwizzle robwatts auto skeggylady de horseradish </s>,0,-0.3818,0.3818
<s> look cravethought between gland chico copy johns pelo pamdemonium maryelleuh darkufo mandolin2 ridiculously infect souvenir gb orphan mono shogi product </s>,0,-0.34,0.34
<s> infect specialist d23 gba variable bossmobb martianlove aviators ui sz4 demi yes save goodluck pathetic journals torture indulge straw perfectly </s>,1,0.3612,0.3612
<s> display canada 36 newspring nathanryder isle keychain total twitterworld await close cheeseburger ct betheaeroplane winter mischief clumsy nigra super emotional </s>,1,0.5688,0.5688
<s> kamscottxxx willfrancis lilyginny27 carinafox5 yr wet z distant hrs goooooooood punk paularos assent overtake 859407 catcher1 splinter reckon24 np barracuda808 </s>,1,0.34,0.34
<s> way profit dose paw cerberus jerrybroughton inaperfectworld allllll yoimajunkie getmevideo elect friction band nude bella4510 getmevideo pratt flight chem cynnergies </s>,1,0.4404,0.4404
<s> bowl tell tomsmithmcse likesunday enough wrist regent google ny bytes robinson cathvontrapp chi emilyybrowningg jasminetame andrea git separate eff rattielovers </s>,0,0.0,0.0
<s> wethetravis tomtravel2 machine applications rosebud refuse whisenhunt 3g babygirlparis minimize differently rotors fckwhtyaheard jewel 10am ð¾ñ rollerblade staff practice straight </s>,1,0.296,0.296
<s> mrpromee beast open littlelumen chart23 dynasty24 sheffield driver cultureshockmag romeothecat luvyaa die prom til talented indo trek insidebooks um rockonrebelchld </s>,0,-0.1531,0.1531
<s> goodness500 monarchy hannahfaulkes fake robwatts race jam explodedsoda diner jur caffeinebomb cindaily bout migrants txbrowneyes20 columbus 19th carve mastermind shayyyg </s>,0,-0.4767,0.4767
<s> xx stumbleupon sussex quickly authentic radiata leosgifted1 2night dis clairemsp marginatasnaily lame gsm 23rd sofia keynote craig plzzzz presence thousand </s>,0,-0.4215,0.4215
<s> morning dayyyyy keynote paula norman ze probably nycgrl88 msrnbjazz secretvalley mb ð½ð¾ soy scan na circle palatal apart bdb alex </s>,0,0.0,0.0
<s> dust shoot buffawhat vols dooobai snowshoemtn lake stickers 8pm supasash11 makeup roast dexterouslady fleetwood mrstessyman yuan91 ahhhhhhh tweetdeck foot firmly </s>,0,-0.34,0.34
<s> now election tamihackbarth 88 lengthy wrath contact tissue summ fc kay lucy dt detective apply comma crunchpow koda france exhaustive </s>,0,-0.128,0.128
<s> wonder filter ebay mechanics sarcasticluther ahead conchango wickets scrape6o8 entershikari tower tessmorris tag domestic 23rd explodedsoda drown kim overtake smithycurt </s>,0,-0.5719,0.5719
<s> moz magnet subvert minimize tend toothsoup 20 dazzlemethis theroose gallery staff tweetschoolonline voice1061 nightshiftnurse mtv marcus necessarily finger heeeyshelby mslaurenlondon </s>,0,0.0,0.0
<s> stick jenny ask xdahlia gulpanag advance chores patriot pres madirigh sew chico sunday championship oxford company medals allergytastic fic major </s>,1,0.4404,0.4404
<s> nd naomi413 around alexparr friend kpamintuan bethlayne nintendo ring tehkimber hill nature guard xhellocallie clinch bidders goodnight clarin saint anything </s>,1,0.4939,0.4939
<s> dom photos musiclover37209 invisible bright littlefletcher proconcert hyde election munchkin clap lisa killer4 circumstances bytterflykissx2 modem guinness dgar 7hours critikthedj </s>,1,0.4404,0.4404
<s> littlefletcher demerol mayoroflondon natalie many kporcalla softmachine temporary master tooth clarin june idiot adventure pineapple liken calgary 3turnoffwords seagull facets </s>,0,-0.25,0.25
<s> pelo irritate sea milk tupperware stub correction pizza miserable lor program pawn cleaninggirl longtime switch2008 eastcoastgamblr rog 100 rafatux sleep </s>,0,-0.7184,0.7184
<s> man trailer 6 iamlegend01 fit practically programme uhhhhh lauralkgw tamihackbarth twiquarius championship focus hook 2uk brigade fun dublin stalinism lamp </s>,1,0.8271,0.8271
<s> tiphereth seat ahmed karahleigh kinds manners kinderjoy rediscover bertadp summer baseball desilynnsmom sh rid finance gailporter serbia few bbf honor </s>,1,0.4939,0.4939
<s> sophystar twtrcon boy mariefayandre keithmelton99 somemaysay har lee paginas shiftywooten let followfriday dear 619writerscript clarin immediately diesel buckle gizmodo ah </s>,1,0.3818,0.3818
<s> vernongarrett gear spooky ba zoom death mozilla omg dawnrigby timheidecker leap westerkerk papparazzi indies jossi record ni promedia doesnt christmas </s>,0,-0.5994,0.5994
<s> followers foods jasontancy masiosare kreeshaturner omg equally gentlemen dr paterzattack webaddict sir schoooool sh fl behind staceybug miss shapeshealth transformers </s>,0,-0.1531,0.1531
<s> cake 50 atl lov cloudy dallas netball less novaleedmb ooooooooo lake swine jeffmello harveymilk pinkkpaiige12 dreamluverz gregjames rub cry rcpmelissa </s>,0,-0.4767,0.4767
<s> angelaisawesome angelo indrairwan oasis sadly sui bakerzin auto countryside shrink fl heh refresh ring raaaaaaek corriander citizen28 fun downfall jess </s>,0,-0.0258,0.0258
<s> zarkinfrood jensen threaten 5pm manager brain extract square psychedelia twinkle gif work sitter pull shelleystudios function sneak despite sort behind </s>,0,-0.3818,0.3818
<s> 3ë semprafi tamihackbarth cathylando wife faster chew varieties recommendations ooh true forest nevada bumblebeebree anew xiaomantous rate three guinness poll </s>,1,0.4215,0.4215
